City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,jinchang,38.4953,102.1739,-4.16,54,100,1.4,CN,1670271468
258,cartagena,10.3997,-75.5144,28.79,74,40,3.6,CO,1670271265
259,fujin,47.26,132.0322,-14.35,79,9,4.48,CN,1670271469
260,souris,49.6172,-100.2612,-16.26,74,88,4.63,CA,1670271469
261,lakes entrance,-37.8811,147.981,12.87,84,100,4.75,AU,1670271470
262,hasaki,35.7333,140.8333,5.12,85,100,11.43,JP,1670271025
263,nehe,48.4833,124.8333,-19.1,89,60,3.84,CN,1670271471
264,kodinsk,58.6881,99.1844,-12.95,90,100,6.28,RU,1670270903
265,dinard,48.6314,-2.0614,3.68,92,75,1.03,FR,1670271472
266,warmbad,-28.45,18.7333,17.86,42,16,8.61,NA,1670271472
267,mount gambier,-37.8333,140.7667,9.01,81,21,1.72,AU,1670270896
268,hastings,50.8552,0.5729,7.21,93,100,5.58,GB,1670271473
269,umm kaddadah,13.6017,26.6876,19.13,21,68,5.41,SD,1670270885
270,te anau,-45.4167,167.7167,9.2,98,100,1.42,NZ,1670271031
271,floro,61.5996,5.0328,3.87,100,75,1.03,NO,1670271473
272,nekrasovskoye,57.6766,40.3657,-10.06,73,0,3.0,RU,1670271474
273,hofn,64.2539,-15.2082,2.55,62,27,3.3,IS,1670270901
274,ulkan,57.243,107.3223,-11.64,89,100,6.32,RU,1670271475
275,krasnyy chikoy,50.3643,108.7512,-15.58,83,100,3.57,RU,1670271475
276,hambantota,6.1241,81.1185,25.05,82,100,1.8,LK,1670271476
277,zhongshu,24.5167,103.7667,7.68,90,100,1.38,CN,1670271476
278,bubaque,11.2833,-15.8333,27.29,69,67,4.2,GW,1670271080
279,mani,4.8172,-72.2886,28.23,66,97,2.34,CO,1670271477
280,kerema,-7.9631,145.7785,24.66,83,90,1.56,PG,1670271477
281,tocopilla,-22.092,-70.1979,21.51,63,22,3.48,CL,1670270906
282,narsaq,60.9167,-46.05,7.12,72,72,4.95,GL,1670270945
283,chapais,49.7834,-74.8492,-4.12,89,100,4.81,CA,1670271478
284,saucillo,28.0167,-105.2833,27.89,24,91,4.86,MX,1670271479
285,krasyukovskaya,47.5522,40.1088,-4.6,58,0,7.0,RU,1670271479
286,istok,42.7808,20.4875,7.43,90,99,0.56,XK,1670271018
287,college,64.8569,-147.8028,-9.68,87,75,0.0,US,1670270937
288,shakiso,5.75,38.9167,16.12,58,92,1.52,ET,1670271480
289,luena,-11.7833,19.9167,16.16,97,69,1.69,AO,1670271145
290,yar-sale,66.8333,70.8333,-16.73,96,16,2.86,RU,1670271481
291,hargeysa,9.56,44.065,14.92,96,14,4.68,SO,1670271481
292,aitape,-3.1374,142.3475,24.63,93,100,1.87,PG,1670271482
293,yaan,7.3833,8.5667,28.4,19,88,1.43,NG,1670271024
294,jining,35.405,116.5814,-0.12,48,0,1.82,CN,1670271482
295,karasjok,69.4719,25.5112,-4.74,92,100,2.56,NO,1670271483
296,paamiut,61.994,-49.6678,3.43,72,100,16.45,GL,1670270825
297,nome,64.5011,-165.4064,-1.96,86,75,5.66,US,1670270798
298,constitucion,-35.3333,-72.4167,19.07,60,7,7.94,CL,1670270841
299,tolmezzo,46.4075,13.0175,8.57,100,100,1.24,IT,1670271484
300,manta,-0.95,-80.7333,25.88,69,20,5.14,EC,1670271484
301,khakhea,-24.6895,23.494,25.19,11,0,6.47,BW,1670271485
302,huilong,31.8111,121.655,6.32,71,5,3.64,CN,1670271486
303,huarmey,-10.0681,-78.1522,21.74,74,20,4.3,PE,1670271486
304,emerald,-23.5333,148.1667,22.99,56,0,2.02,AU,1670271097
305,flinders,-34.5833,150.8552,16.81,92,45,3.39,AU,1670271487
306,bambous virieux,-20.3428,57.7575,25.14,78,40,4.63,MU,1670271001
307,kuzino,57.0224,59.4412,-18.91,100,81,0.82,RU,1670271487
308,roald,62.5833,6.1333,5.97,70,75,4.63,NO,1670271488
309,touros,-5.1989,-35.4608,27.39,67,17,6.0,BR,1670271035
310,balikpapan,-1.2675,116.8289,24.55,94,20,0.0,ID,1670271489
311,okhotsk,59.3833,143.3,-30.38,82,59,3.71,RU,1670271048
312,newport,51.5877,-2.9984,7.06,75,100,7.29,GB,1670271466
313,bitkine,11.9801,18.2138,26.18,18,8,3.78,TD,1670271490
314,riyadh,24.6877,46.7219,22.08,37,81,5.35,SA,1670271055
315,sao filipe,14.8961,-24.4956,22.61,68,33,3.12,CV,1670271491
316,matay,28.419,30.7792,16.96,60,0,6.74,EG,1670271491
317,lar,26.2039,83.9717,14.55,49,0,3.14,IN,1670271492
318,pitimbu,-7.4706,-34.8086,26.33,76,42,6.09,BR,1670270964
319,karla,59.3723,24.9275,-2.16,89,100,3.09,EE,1670271493
320,tianpeng,30.9866,103.9393,8.73,81,100,1.26,CN,1670271493
321,la ronge,55.1001,-105.2842,-22.28,78,100,2.97,CA,1670270987
322,altay,47.8667,88.1167,-12.31,83,100,2.43,CN,1670270950
323,lorengau,-2.0226,147.2712,25.99,80,100,1.52,PG,1670271043
324,kibaya,-5.3,36.5667,17.72,71,100,2.0,TZ,1670271494
325,beni suef,29.0731,31.0979,16.51,61,0,4.8,EG,1670271495
326,amatitan,20.8333,-103.7167,29.63,20,1,0.55,MX,1670271496
327,luang prabang,19.8856,102.1347,20.9,85,73,0.57,LA,1670271496
328,prince rupert,54.3161,-130.3201,1.83,76,0,4.12,CA,1670271485
329,kudahuvadhoo,2.6708,72.8944,26.38,77,100,0.96,MV,1670271079
330,yamada,39.4667,141.95,2.59,59,78,1.26,JP,1670271497
331,port blair,11.6667,92.75,26.02,83,75,2.06,IN,1670271497
332,kilindoni,-7.9139,39.6668,26.91,79,85,6.29,TZ,1670271498
333,chkalovskoye,44.8392,133.0436,-13.27,83,3,3.22,RU,1670271498
334,ust-kuyga,70.0167,135.6,-31.53,100,100,1.66,RU,1670271499
335,ghanzi,-21.5667,21.7833,28.77,19,7,1.51,BW,1670271500
336,ambositra,-20.5167,47.25,16.09,98,100,1.14,MG,1670271500
337,sombrerete,23.6333,-103.65,21.6,26,60,1.18,MX,1670271501
338,tibati,6.4667,12.6333,24.98,23,100,2.62,CM,1670271501
339,praya,14.9215,-23.5087,23.3,64,75,4.63,CV,1670271502
340,kathmandu,27.7167,85.3167,9.12,93,20,1.03,NP,1670271304
341,aykhal,66.0,111.5,-23.79,97,100,5.95,RU,1670271037
342,kruisfontein,-34.0033,24.7314,14.94,87,1,3.66,ZA,1670271503
343,sola,-13.8833,167.55,27.44,71,85,3.62,VU,1670271028
344,tuyen quang,21.8233,105.2181,15.96,81,96,0.54,VN,1670271501
345,coquimbo,-29.9533,-71.3436,18.85,72,75,4.63,CL,1670270695
346,matagami,49.7502,-77.6328,-8.94,79,75,4.63,CA,1670271504
347,sioux lookout,50.1001,-91.917,-16.96,66,75,5.14,CA,1670270940
348,teguldet,57.3064,88.1667,-18.51,96,100,2.69,RU,1670271505
349,soddy-daisy,35.2359,-85.1908,8.95,96,100,1.82,US,1670271222
350,hadishahr,38.8431,45.6635,1.27,75,24,1.63,AZ,1670271506
351,strezhevoy,60.7333,77.5889,-14.45,96,96,3.52,RU,1670271052
352,almaznyy,48.0448,40.045,-7.6,52,0,5.15,RU,1670271507
353,cameron park,38.6688,-120.9872,12.92,88,55,3.13,US,1670271507
354,honningsvag,70.9821,25.9704,3.86,81,75,5.14,NO,1670270833
355,norden,53.6,7.2,4.99,97,100,7.76,DE,1670271508
356,livingstonia,-10.606,34.1063,21.68,56,66,1.28,MW,1670271063
357,nova olinda do norte,-3.8881,-59.0942,29.58,62,93,1.36,BR,1670271509
358,najran,17.4924,44.1277,15.81,36,0,0.41,SA,1670271053
359,hanmer springs,-42.5167,172.8167,15.57,51,66,2.24,NZ,1670271510
360,visby,57.6409,18.296,1.14,100,75,2.06,SE,1670271510
361,coleraine,55.1333,-6.6667,6.95,77,17,4.29,GB,1670271416
362,shetpe,44.1667,52.1167,-6.65,44,0,1.04,KZ,1670271511
